arc_i,arc_j,capacity_00,capacity_01,capacity_02,capacity_03,capacity_05,capacity_06,capacity_07,capacity_08,capacity_09,capacity_10,capacity_11,capacity_12,capacity_13,capacity_15,capacity_18
49,50,1397098527,307122192,4618301999,40779875,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241,197840594,1498246099
49,48,1397098527,307122192,4618301999,40779875,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241,197840594,1498246099
50,51,1397098527,307122192,4618301999,40779875,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241,197840594,1498246099
50,49,1397098527,307122192,4618301999,40779875,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241,197840594,1498246099
51,50,1397098527,307122192,4618301999,40779875,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241,197840594,1498246099
51,52,1397098527,307122192,4618301999,40779875,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241,197840594,1498246099
52,51,1397098527,307122192,4618301999,40779875,899613621,323874501,255188854,73206512,818972474,16015028,146899534,12180280,173535241,197840594,1498246099
52,31,1217826625,267713103,4025693985,35547112,784177635,282315801,222443711,63812851,713884142,13960023,128049783,10617339,151267669,172454224,1305995214
52,35,88006206,19346279,290916661,2568811,56668574,20401543,16074888,4611433,51588817,1008820,9253513,767261,10931353,12462399,94377707
53,54,2034939806,447337938,6726774376,59397809,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253,288164143,2182266008
53,60,1395876218,306853494,4614261490,40744197,898826557,323591146,254965592,73142465,818255962,16001017,146771013,12169624,173383417,197667505,1496935297
54,53,2034939806,447337938,6726774376,59397809,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253,288164143,2182266008
54,55,2034939806,447337938,6726774376,59397809,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253,288164143,2182266008
55,54,2034939806,447337938,6726774376,59397809,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253,288164143,2182266008
55,56,2034939806,447337938,6726774376,59397809,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253,288164143,2182266008
56,55,2034939806,447337938,6726774376,59397809,1310329609,471738465,371694585,106628733,1192871980,23326643,213966090,17741152,252762253,288164143,2182266008
56,57,1842222511,404973168,6089720761,53772589,1186235925,427062863,336493556,96530547,1079902024,21117512,193702608,16060991,228824612,260873796,1975596307
57,58,1838759304,404211856,6078272652,53671501,1184005911,426260024,335860980,96349079,1077871908,21077813,193338465,16030798,228394443,260383377,1971882369
57,56,1842222511,404973168,6089720761,53772589,1186235925,427062863,336493556,96530547,1079902024,21117512,193702608,16060991,228824612,260873796,1975596307
58,57,1838759304,404211856,6078272652,53671501,1184005911,426260024,335860980,96349079,1077871908,21077813,193338465,16030798,228394443,260383377,1971882369
58,62,1070945896,235424521,3540159465,31259814,689598834,248266003,195615020,56116453,627783362,12276320,112605840,9336794,133023442,151654710,1148480569
59,60,1406876994,309271779,4650626073,41065299,905910129,326141339,256974953,73718894,824704564,16127119,147927702,12265531,174749836,199225305,1508732511
59,81,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
60,53,1395876218,306853494,4614261490,40744197,898826557,323591146,254965592,73142465,818255962,16001017,146771013,12169624,173383417,197667505,1496935297
60,59,1406876994,309271779,4650626073,41065299,905910129,326141339,256974953,73718894,824704564,16127119,147927702,12265531,174749836,199225305,1508732511
60,61,1688822804,371251527,5582636858,49295008,1087459451,391501839,308474133,88492562,989979849,19359082,177573219,14723611,209770655,239151141,1811090720
61,60,1688822804,371251527,5582636858,49295008,1087459451,391501839,308474133,88492562,989979849,19359082,177573219,14723611,209770655,239151141,1811090720
61,121,300891590,66144572,994638677,8782717,193748806,69752499,54959746,15766407,176381210,3449139,31637592,2623253,37374096,42608713,322675632
61,36,1562313882,343441250,5164444157,45602342,1005998375,362174620,285366480,81863626,915820925,17908902,164271293,13620672,194056834,221236441,1675422766
62,58,1070945896,235424521,3540159465,31259814,689598834,248266003,195615020,56116453,627783362,12276320,112605840,9336794,133023442,151654710,1148480569
63,129,703642215,154680672,2325986454,20538595,453086241,163117895,128524687,36870121,412471701,8065895,73985271,6134542,87400222,99641500,754584722
63,76,2030458008,446352711,6711959176,59266990,1307443709,470699497,370875957,106393892,1190244772,23275268,213494847,17702078,252205563,287529484,2177459736
63,77,2104000231,462519394,6955063145,61413612,1354798699,487748009,384308907,110247428,1233354872,24118287,221227528,18343239,261340329,297943665,2256326292
64,90,2223990175,488896613,7351706463,64915996,1432062102,515564002,406225827,116534777,1303692403,25493739,233844009,19389344,276244420,314935224,2385003304
64,65,2368426287,520647799,7829159966,69131938,1525066777,549047091,432607994,124103079,1388360161,27149419,249030911,20648577,294184998,335388561,2539896347
